#X Y timestamp framecnt Z flag
131.6 46.2 1654241323.59 2554205 0.0 0
131.6 48.8 1654241326.88 2558390 0.0 0
131.6 51.4 1654241330.17 2562576 0.0 0
131.6 54.0 1654241333.46 2566758 0.0 0
131.6 56.6 1654241336.75 2570942 0.0 0
131.6 59.2 1654241340.04 2575127 0.0 0
131.6 61.8 1654241343.33 2579312 0.0 0
131.6 64.4 1654241346.62 2583495 0.0 0
131.6 67.0 1654241349.91 2587678 0.0 0
131.6 69.6 1654241353.2 2591863 0.0 0
131.6 72.2 1654241356.49 2596050 0.0 0
131.6 74.8 1654241359.79 2600234 0.0 0
131.6 77.4 1654241363.08 2604419 0.0 0
131.6 80.0 1654241366.37 2608608 0.0 0
131.6 82.6 1654241369.67 2612797 0.0 0
131.6 85.2 1654241372.96 2616986 0.0 0
131.6 87.8 1654241376.25 2621170 0.0 0
131.6 90.4 1654241379.54 2625355 0.0 0
131.6 93.0 1654241382.83 2629540 0.0 0
131.6 95.6 1654241386.12 2633725 0.0 0
131.6 98.2 1654241389.41 2637909 0.0 0
131.6 100.8 1654241392.71 2642094 0.0 0
131.6 103.4 1654241396.0 2646278 0.0 0
131.6 106.0 1654241399.29 2650462 0.0 0
131.6 108.6 1654241402.58 2654645 0.0 0
131.6 111.2 1654241405.87 2658828 0.0 0
131.6 113.8 1654241409.16 2663014 0.0 0
131.6 116.4 1654241412.45 2667197 0.0 0
131.6 119.0 1654241415.74 2671380 0.0 0
131.6 121.6 1654241419.03 2675567 0.0 0
131.6 124.2 1654241422.32 2679754 0.0 0
131.6 126.8 1654241425.61 2683938 0.0 0
131.6 129.4 1654241428.9 2688122 0.0 0
131.6 132.0 1654241432.19 2692306 0.0 0
131.6 134.6 1654241435.48 2696490 0.0 0
131.6 137.2 1654241438.77 2700673 0.0 0
131.6 139.8 1654241442.06 2704857 0.0 0
131.6 142.4 1654241445.35 2709042 0.0 0
131.6 145.0 1654241448.64 2713225 0.0 0
168.0 80.0 1654241456.12 2722730 0.0 1
134.2 15.0 1654241463.6 2732236 0.0 0
134.2 17.6 1654241466.89 2736420 0.0 0
134.2 20.2 1654241470.18 2740605 0.0 0
134.2 22.8 1654241473.47 2744788 0.0 0
134.2 25.4 1654241476.76 2748970 0.0 0
134.2 28.0 1654241480.04 2753152 0.0 0
134.2 30.6 1654241483.34 2757336 0.0 0
134.2 33.2 1654241486.62 2761518 0.0 0
134.2 35.8 1654241489.91 2765702 0.0 0
134.2 38.4 1654241493.2 2769886 0.0 0
134.2 41.0 1654241496.49 2774070 0.0 0
134.2 43.6 1654241499.78 2778253 0.0 0
134.2 46.2 1654241503.07 2782434 0.0 0
134.2 48.8 1654241506.36 2786618 0.0 0
134.2 51.4 1654241509.65 2790801 0.0 0
134.2 54.0 1654241512.94 2794984 0.0 0
134.2 56.6 1654241516.23 2799168 0.0 0
134.2 59.2 1654241519.52 2803352 0.0 0
134.2 61.8 1654241522.81 2807536 0.0 0
134.2 64.4 1654241526.1 2811718 0.0 0
134.2 67.0 1654241529.39 2815901 0.0 0
134.2 69.6 1654241532.68 2820084 0.0 0
134.2 72.2 1654241535.97 2824268 0.0 0
134.2 74.8 1654241539.26 2828452 0.0 0
134.2 77.4 1654241542.55 2832637 0.0 0
134.2 80.0 1654241545.84 2836820 0.0 0
134.2 82.6 1654241549.13 2841002 0.0 0
